area_id,cell_id,cell_seq,cell_size_m,grid_x_min,grid_y_min,grid_x_max,grid_y_max,cell_area_m2,coverage_ratio,centroid_x,centroid_y,centroid_lon,centroid_lat,municipio,distrito_ilha,nuts1,nuts2,nuts3,nuts3_cod,source_boundary_dataset,boundary_curated_at_utc,cells_attributes_curated_at_utc,altitude_m,slope_deg,aspect_deg,land_cover_class,land_cover_macroclass,land_cover_pct_dominant,dominant_forest_type,dominant_fuel_model,tree_cover_density,structural_hazard,conjunctural_hazard,attributes_status,land_cover_code,land_cover_label,land_cover_source,structural_hazard_code
proenca-a-nova,proenca-a-nova-0021,21,1000,30000,20000,31000,21000,950827.0056948602,0.9508270056948602,30481.02442195746,20478.456766908643,-7.776929395231413,39.85215222948002,Proença-a-Nova,Castelo Branco,Continente,Centro,Beira Baixa,195,CAOP_Continente_2025,2026-04-05T13:21:13.074478+00:00,2026-04-05T13:36:15.102287+00:00,,9.234991,250.335175,Florestas de pinheiro bravo,florestas,93.44275868110468,,,,alta,,partial,5.1.2.1,Florestas de pinheiro bravo,COS2018v3-S2,4
proenca-a-nova,proenca-a-nova-0022,22,1000,31000,20000,32000,21000,213878.07336042702,0.21387807336042702,31177.496876629233,20278.063934421745,-7.768800622001584,39.850322168613985,Proença-a-Nova,Castelo Branco,Continente,Centro,Beira Baixa,195,CAOP_Continente_2025,2026-04-05T13:21:13.074478+00:00,2026-04-05T13:36:15.102287+00:00,,9.383475,187.198669,Florestas de pinheiro bravo,florestas,86.14849533929109,,,,alta,,partial,5.1.2.1,Florestas de pinheiro bravo,COS2018v3-S2,4
proenca-a-nova,proenca-a-nova-0023,23,1000,23000,19000,24000,20000,4760.002032864497,0.004760002032864497,23983.652892347145,19801.514676961615,-7.852876741758094,39.84626373485599,Proença-a-Nova,Castelo Branco,Continente,Centro,Beira Baixa,195,CAOP_Continente_2025,2026-04-05T13:21:13.074478+00:00,2026-04-05T13:36:15.102287+00:00,,4.831387,216.001801,Florestas de pinheiro bravo,florestas,86.51424572123115,,,,alta,,partial,5.1.2.1,Florestas de pinheiro bravo,COS2018v3-S2,4
proenca-a-nova,proenca-a-nova-0024,24,1000,24000,19000,25000,20000,983262.8734137871,0.9832628734137872,24508.208864046723,19497.679349710095,-7.846759124700312,39.84351232721094,Proença-a-Nova,Castelo Branco,Continente,Centro,Beira Baixa,195,CAOP_Continente_2025,2026-04-05T13:21:13.074478+00:00,2026-04-05T13:36:15.102287+00:00,,23.60738,203.25235,Florestas de pinheiro bravo,florestas,89.03130006252749,,,,alta,,partial,5.1.2.1,Florestas de pinheiro bravo,COS2018v3-S2,4
proenca-a-nova,proenca-a-nova-0025,25,1000,25000,19000,26000,20000,1000000.0,1.0,25500.0,19500.0,-7.835171281777772,39.84350404711556,Proença-a-Nova,Castelo Branco,Continente,Centro,Beira Baixa,195,CAOP_Continente_2025,2026-04-05T13:21:13.074478+00:00,2026-04-05T13:36:15.102287+00:00,,9.612815,6.62877,Florestas de pinheiro bravo,florestas,83.11703217428146,,,,alta,,partial,5.1.2.1,Florestas de pinheiro bravo,COS2018v3-S2,4
proenca-a-nova,proenca-a-nova-0026,26,1000,26000,19000,27000,20000,1000000.0,1.0,26500.0,19500.0,-7.823487633484747,39.84347345313646,Proença-a-Nova,Castelo Branco,Continente,Centro,Beira Baixa,195,CAOP_Continente_2025,2026-04-05T13:21:13.074478+00:00,2026-04-05T13:36:15.102287+00:00,,12.176145,239.630325,Florestas de pinheiro bravo,florestas,69.82386479093432,,,,alta,,partial,5.1.2.1,Florestas de pinheiro bravo,COS2018v3-S2,4
proenca-a-nova,proenca-a-nova-0027,27,1000,27000,19000,28000,20000,1000000.0,1.0,27500.0,19500.0,-7.8118040033818135,39.843441682514495,Proença-a-Nova,Castelo Branco,Continente,Centro,Beira Baixa,195,CAOP_Continente_2025,2026-04-05T13:21:13.074478+00:00,2026-04-05T13:36:15.102287+00:00,,15.952286,103.108162,Florestas de pinheiro bravo,florestas,72.88983388738494,,,,alta,,partial,5.1.2.1,Florestas de pinheiro bravo,COS2018v3-S2,4
proenca-a-nova,proenca-a-nova-0028,28,1000,28000,19000,29000,20000,1000000.0,1.0,28500.0,19500.0,-7.800120392155326,39.84340873525514,Proença-a-Nova,Castelo Branco,Continente,Centro,Beira Baixa,195,CAOP_Continente_2025,2026-04-05T13:21:13.074478+00:00,2026-04-05T13:36:15.102287+00:00,,12.852542,145.988831,Florestas de pinheiro bravo,florestas,78.45643627654569,,,,alta,,partial,5.1.2.1,Florestas de pinheiro bravo,COS2018v3-S2,4
proenca-a-nova,proenca-a-nova-0029,29,1000,29000,19000,30000,20000,1000000.0,1.0,29500.0,19500.0,-7.788436800491631,39.843374611364126,Proença-a-Nova,Castelo Branco,Continente,Centro,Beira Baixa,195,CAOP_Continente_2025,2026-04-05T13:21:13.074478+00:00,2026-04-05T13:36:15.102287+00:00,,9.549109,204.065735,Florestas de pinheiro bravo,florestas,91.78348709554376,,,,alta,,partial,5.1.2.1,Florestas de pinheiro bravo,COS2018v3-S2,4
proenca-a-nova,proenca-a-nova-0030,30,1000,30000,19000,31000,20000,1000000.0,1.0,30500.0,19500.0,-7.776753229077072,39.843339310847355,Proença-a-Nova,Castelo Branco,Continente,Centro,Beira Baixa,195,CAOP_Continente_2025,2026-04-05T13:21:13.074478+00:00,2026-04-05T13:36:15.102287+00:00,,9.517118,139.969971,Florestas de pinheiro bravo,florestas,81.84971621887952,,,,alta,,partial,5.1.2.1,Florestas de pinheiro bravo,COS2018v3-S2,4
